사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2022-05,2호선,0248,양천구청,19,0,5010,966,11572,2500,33594,5278,31036,9998,17893,5017,12339,4619,10948,5268,11388,6605,9981,7902,8178,8478,8030,10771,8806,13606,9527,18214,9557,28451,4271,24740,3033,13821,2475,14042,2109,12154,556,9784,4,1145,0,0,0,0,0,0
2022-05,2호선,0249,신정네거리,34,0,8780,1004,18456,2892,50868,5198,47809,11898,25921,8351,18445,7495,16252,9153,16508,10433,14480,12204,12903,12972,12025,17547,13126,21556,13284,29882,12683,47670,7998,38137,5839,19893,4567,19962,3826,17942,1225,13198,10,1399,0,1,0,0,0,0
2022-05,2호선,0250,용두(동대문구청),37,0,1062,157,1740,1092,5338,2533,9305,5683,4786,3647,3818,3040,3786,3451,4068,2985,4035,3727,3821,3948,4029,4237,4634,4241,4679,4567,5616,7674,2633,5863,1564,3101,1362,3058,694,2299,272,1848,0,49,0,0,0,1,0,0
2022-05,3호선,0309,지축,6,0,2538,950,9007,6631,24392,4442,23886,4718,12590,3759,8549,3305,7467,3760,6860,4676,6556,5071,5806,5405,7705,6817,10800,8903,8614,11158,5891,19897,3786,15852,2460,10379,1553,8821,1310,8845,457,4514,0,0,0,0,0,0,0,0
2022-05,3호선,0310,구파발,156,4,10781,1218,33232,10163,89905,23999,77906,31329,46618,27828,33288,28899,31148,25131,32670,26946,30341,28966,30445,30460,33994,30254,38351,35935,39045,45507,31797,70912,21019,62000,16780,35950,13995,33626,11761,28657,2444,26042,7,5997,0,3,0,0,0,0
2022-05,3호선,0311,연신내,337,12,28683,1974,54917,12623,134120,24541,153191,35659,90630,36534,63077,35633,56628,36354,62940,40795,56147,46195,51176,45268,52320,56659,61558,69019,54689,89728,50095,134657,34953,119383,28240,68265,25100,66798,21290,57618,7375,41327,11,4823,0,0,0,0,0,0
2022-05,3호선,0312,불광,12,0,9871,1340,20450,6574,53049,11726,60594,33978,36482,32411,26891,26497,25286,24870,26356,26778,26589,29428,26572,27874,28097,30886,29717,34351,30805,42188,32154,58410,18095,48201,14578,29106,12322,25421,8430,23075,2821,16259,4,830,0,0,0,0,0,0
2022-05,3호선,0313,녹번,51,5,10442,657,26896,4175,71680,7799,75757,18656,45958,11718,28526,10235,23494,10931,23609,12676,21116,13928,18230,15789,17307,18729,18192,27403,19977,36696,21722,57609,10384,51131,8064,30748,6240,27338,4606,26578,1339,17431,4,187,0,0,0,0,0,0
2022-05,3호선,0314,홍제,66,2,10472,1497,25956,7963,65140,12474,70380,27611,44942,22116,32588,20134,30219,18768,32507,20811,28806,23018,26098,24123,27159,28947,29553,35096,31211,42835,29495,60632,15564,51985,12234,31068,10397,29035,7423,25522,2288,17426,2,21,0,1,0,0,0,0
2022-05,3호선,0315,무악재,17,0,2025,258,5584,3292,14381,3023,16463,6688,10366,4598,7457,4410,6470,4148,6393,4291,5637,4736,5291,5024,5168,6243,5932,7842,6884,9763,7255,14849,3149,12170,2377,7825,1887,7234,1481,6696,466,4692,0,13,0,0,0,0,0,0
